time_ms,cpu_used_percent,active_workers,queue_len,completed
34130,85,6,116,878
34140,85,6,116,878
34150,85,6,116,878
34160,85,6,116,878
34170,85,6,116,878
34180,85,6,116,878
34190,85,6,116,878
34200,85,6,116,878
34210,85,6,116,878
34220,85,6,116,878
34230,85,6,116,878
34240,100,5,111,884
34250,100,5,111,884
34260,100,5,111,884
34270,100,5,111,884
34280,100,5,111,884
34290,100,5,111,884
34300,100,5,111,884
34310,100,5,111,884
34320,100,5,111,884
34330,100,5,111,884
34340,100,5,111,884
34350,100,5,111,884
34360,100,5,111,884
34370,100,5,111,884
34380,100,5,111,884
34390,100,5,111,884
34400,100,5,111,884
34410,100,5,111,884
34420,100,5,111,884
34430,100,5,111,884
34440,70,2,109,889
34450,70,2,109,889
34460,70,2,109,889
34470,70,2,109,889
34480,70,2,109,889
34490,70,2,109,889
34500,70,2,109,889
34510,70,2,109,889
34520,70,2,109,889
34530,70,2,109,889
34540,70,2,109,889
34550,70,2,109,889
34560,70,2,109,889
34570,70,2,109,889
34580,70,2,109,889
34590,70,2,109,889
34600,70,2,109,889
34610,70,2,109,889
34620,70,2,109,889
34630,70,2,109,889
34640,85,6,103,891
34650,85,6,103,891
34660,85,6,103,891
34670,85,6,103,891
34680,85,6,103,891
34690,85,6,103,891
34700,85,6,103,891
34710,85,6,103,891
34720,85,6,103,891
34730,85,6,103,891
34740,85,6,103,891
34750,85,6,103,891
34760,85,6,103,891
34770,85,6,103,891
34780,85,6,103,891
34790,85,6,103,891
34800,85,6,103,891
34810,85,6,103,891
34820,85,6,103,891
34830,85,6,103,891
34840,100,5,98,897
34850,100,5,98,897
34860,100,5,98,897
34870,100,5,98,897
34880,100,5,98,897
34890,100,5,98,897
34900,100,5,98,897
34910,100,5,98,897
34920,100,5,98,897
34930,100,5,98,897
34940,100,5,98,897
34950,100,5,98,897
34960,100,5,98,897
34970,100,5,98,897
34980,100,5,98,897
34990,100,5,98,897
35000,100,5,98,897
35010,100,5,98,897
35020,100,5,98,897
35030,100,5,98,897
35040,100,5,93,902
35050,100,5,93,902
35060,100,5,93,902
35070,100,5,93,902
35080,100,5,93,902
35090,100,5,93,902
35100,100,5,93,902
35110,100,5,93,902
35120,100,5,93,902
35130,100,5,93,902
35140,100,5,93,902
35150,100,5,93,902
35160,100,5,93,902
35170,100,5,93,902
35180,100,5,93,902
35190,100,5,93,902
35200,100,5,93,902
35210,100,5,93,902
35220,100,5,93,902
35230,100,5,93,902
35240,90,4,89,907
35250,90,4,89,907
35260,90,4,89,907
35270,90,4,89,907
35280,90,4,89,907
35290,90,4,89,907
35300,90,4,89,907
35310,90,4,89,907
35320,90,4,89,907
35330,90,4,89,907
35340,90,4,89,907
35350,90,4,89,907
35360,90,4,89,907
35370,90,4,89,907
35380,90,4,89,907
35390,90,4,89,907
35400,90,4,89,907
35410,90,4,89,907
35420,90,4,89,907
35430,90,4,89,907
35440,70,2,87,911
35450,70,2,87,911
35460,70,2,87,911
35470,70,2,87,911
35480,70,2,87,911
35490,70,2,87,911
35500,70,2,87,911
35510,70,2,87,911
35520,70,2,87,911
35530,70,2,87,911
35540,70,2,87,911
35550,70,2,87,911
35560,70,2,87,911
35570,70,2,87,911
35580,70,2,87,911
